,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,n_unique,%_nulos
age,42752.0,39.745017776946106,9.822488765866694,17.0,23.0,26.0,33.0,38.0,46.0,57.0,70.0,98.0,78,0.0
duration,42752.0,4.2961225205838325,4.312980722395473,0.0,0.18,0.6,1.7,2.98,5.32,12.508999999999942,21.13979999999996,81.97,1540,0.0
campaign,42752.0,2.566382859281437,2.77060564742808,1.0,1.0,1.0,1.0,2.0,3.0,7.0,14.0,56.0,42,0.0
previous,42752.0,0.1742374625748503,0.4978282027906933,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,8,0.0
cons.price.idx,42752.0,93.57622562687126,0.5768145791959235,92.201,92.201,92.713,93.075,93.749,93.994,94.465,94.465,94.767,26,0.0
latitude,42752.0,36.857781226609276,7.225805519649622,24.396,24.63951,25.653,30.616,36.763,43.113,48.163,49.136,49.384,20447,0.0
longitude,42752.0,-95.93950180108534,16.747650026341887,-124.997,-124.43449,-122.07745,-110.49,-95.902,-81.437,-69.85,-67.48951,-66.937,30329,0.0
year,42752.0,2017.0013098802394,1.4143121930330802,2015.0,2015.0,2015.0,2016.0,2017.0,2018.0,2019.0,2019.0,2019.0,5,0.0
month,42752.0,6.502058383233533,3.44871846764575,1.0,1.0,1.0,4.0,7.0,10.0,12.0,12.0,12.0,12,0.0
Income,42752.0,93225.59150449102,50495.796689261624,5841.0,7609.71,14689.500000000002,49587.5,93016.0,136732.0,172369.9,179059.0,180802.0,37977,0.0
Kidhome,42752.0,1.005052395209581,0.8158695435151496,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3,0.0
Teenhome,42752.0,0.9988304640718563,0.8157983353069456,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3,0.0
NumWebVisitsMonth,42752.0,16.59000748502994,9.239465673358065,1.0,1.0,2.0,9.0,17.0,25.0,31.0,32.0,32.0,32,0.0
Children_total,42752.0,2.003882859281437,1.1533629972775372,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,4.0,5,0.0
Customer_Tenure_Years,42752.0,11.888823914670658,0.9808650910222219,10.0,10.0,10.0,11.0,12.0,13.0,13.0,13.0,13.0,4,0.0
